"Time","RAM Total","RAM Used","RAM Cache + Buffer","RAM Free","SWAP Used"
2024-03-05 15:50:45,15.4 GiB,2.46 GiB,1.89 GiB,11.0 GiB,0 B
2024-03-05 15:51:00,15.4 GiB,2.46 GiB,1.89 GiB,11.0 GiB,0 B
2024-03-05 15:51:15,15.4 GiB,2.46 GiB,1.89 GiB,11.0 GiB,0 B
2024-03-05 15:51:30,15.4 GiB,2.47 GiB,1.89 GiB,11.0 GiB,0 B
2024-03-05 15:51:45,15.4 GiB,2.47 GiB,1.89 GiB,11.0 GiB,0 B
2024-03-05 15:52:00,15.4 GiB,2.48 GiB,1.89 GiB,11.0 GiB,0 B
2024-03-05 15:52:15,15.4 GiB,2.48 GiB,1.89 GiB,11.0 GiB,0 B
2024-03-05 15:52:30,15.4 GiB,2.48 GiB,1.89 GiB,11.0 GiB,0 B
2024-03-05 15:52:45,15.4 GiB,2.48 GiB,1.89 GiB,11.0 GiB,0 B
2024-03-05 15:53:00,15.4 GiB,2.48 GiB,1.89 GiB,11.0 GiB,0 B
2024-03-05 15:53:15,15.4 GiB,2.48 GiB,1.89 GiB,11.0 GiB,0 B
2024-03-05 15:53:30,15.4 GiB,2.49 GiB,1.89 GiB,11.0 GiB,0 B
2024-03-05 15:53:45,15.4 GiB,2.48 GiB,1.89 GiB,11.0 GiB,0 B
2024-03-05 15:54:00,15.4 GiB,2.49 GiB,1.89 GiB,11.0 GiB,0 B
2024-03-05 15:54:15,15.4 GiB,2.49 GiB,1.89 GiB,11.0 GiB,0 B
2024-03-05 15:54:30,15.4 GiB,2.50 GiB,1.89 GiB,11.0 GiB,0 B
2024-03-05 15:54:45,15.4 GiB,2.50 GiB,1.89 GiB,11.0 GiB,0 B
2024-03-05 15:55:00,15.4 GiB,2.51 GiB,1.89 GiB,11.0 GiB,0 B
2024-03-05 15:55:15,15.4 GiB,2.51 GiB,1.89 GiB,11.0 GiB,0 B
2024-03-05 15:55:30,15.4 GiB,2.51 GiB,1.89 GiB,11.0 GiB,0 B
2024-03-05 15:55:45,15.4 GiB,2.52 GiB,1.89 GiB,10.9 GiB,0 B
2024-03-05 15:56:00,15.4 GiB,2.52 GiB,1.89 GiB,10.9 GiB,0 B
2024-03-05 15:56:15,15.4 GiB,2.52 GiB,1.89 GiB,10.9 GiB,0 B
2024-03-05 15:56:30,15.4 GiB,2.52 GiB,1.89 GiB,10.9 GiB,0 B
2024-03-05 15:56:45,15.4 GiB,2.52 GiB,1.89 GiB,10.9 GiB,0 B
2024-03-05 15:57:00,15.4 GiB,2.53 GiB,1.89 GiB,10.9 GiB,0 B
2024-03-05 15:57:15,15.4 GiB,2.53 GiB,1.89 GiB,10.9 GiB,0 B
2024-03-05 15:57:30,15.4 GiB,2.53 GiB,1.89 GiB,10.9 GiB,0 B
2024-03-05 15:57:45,15.4 GiB,2.53 GiB,1.89 GiB,10.9 GiB,0 B
2024-03-05 15:58:00,15.4 GiB,2.53 GiB,1.89 GiB,10.9 GiB,0 B
2024-03-05 15:58:15,15.4 GiB,2.54 GiB,1.89 GiB,10.9 GiB,0 B
2024-03-05 15:58:30,15.4 GiB,2.54 GiB,1.89 GiB,10.9 GiB,0 B
2024-03-05 15:58:45,15.4 GiB,2.54 GiB,1.89 GiB,10.9 GiB,0 B
2024-03-05 15:59:00,15.4 GiB,2.54 GiB,1.89 GiB,10.9 GiB,0 B
2024-03-05 15:59:15,15.4 GiB,2.54 GiB,1.89 GiB,10.9 GiB,0 B
2024-03-05 15:59:30,15.4 GiB,2.55 GiB,1.89 GiB,10.9 GiB,0 B
2024-03-05 15:59:45,15.4 GiB,2.56 GiB,1.89 GiB,10.9 GiB,0 B
2024-03-05 16:00:00,15.4 GiB,2.55 GiB,1.89 GiB,10.9 GiB,0 B
2024-03-05 16:00:15,15.4 GiB,2.56 GiB,1.89 GiB,10.9 GiB,0 B
2024-03-05 16:00:30,15.4 GiB,2.56 GiB,1.89 GiB,10.9 GiB,0 B
2024-03-05 16:00:45,15.4 GiB,2.56 GiB,1.89 GiB,10.9 GiB,0 B
2024-03-05 16:01:00,15.4 GiB,2.56 GiB,1.89 GiB,10.9 GiB,0 B
2024-03-05 16:01:15,15.4 GiB,2.57 GiB,1.89 GiB,10.9 GiB,0 B
2024-03-05 16:01:30,15.4 GiB,2.57 GiB,1.90 GiB,10.9 GiB,0 B
2024-03-05 16:01:45,15.4 GiB,2.57 GiB,1.90 GiB,10.9 GiB,0 B
2024-03-05 16:02:00,15.4 GiB,2.57 GiB,1.90 GiB,10.9 GiB,0 B
2024-03-05 16:02:15,15.4 GiB,2.57 GiB,1.90 GiB,10.9 GiB,0 B
2024-03-05 16:02:30,15.4 GiB,2.57 GiB,1.90 GiB,10.9 GiB,0 B
2024-03-05 16:02:45,15.4 GiB,2.58 GiB,1.90 GiB,10.9 GiB,0 B
2024-03-05 16:03:00,15.4 GiB,2.58 GiB,1.90 GiB,10.9 GiB,0 B
2024-03-05 16:03:15,15.4 GiB,2.58 GiB,1.90 GiB,10.9 GiB,0 B
2024-03-05 16:03:30,15.4 GiB,2.58 GiB,1.90 GiB,10.9 GiB,0 B
2024-03-05 16:03:45,15.4 GiB,2.59 GiB,1.90 GiB,10.9 GiB,0 B
2024-03-05 16:04:00,15.4 GiB,2.58 GiB,1.90 GiB,10.9 GiB,0 B
2024-03-05 16:04:15,15.4 GiB,2.59 GiB,1.90 GiB,10.9 GiB,0 B
2024-03-05 16:04:30,15.4 GiB,2.58 GiB,1.90 GiB,10.9 GiB,0 B
2024-03-05 16:04:45,15.4 GiB,2.59 GiB,1.90 GiB,10.9 GiB,0 B
2024-03-05 16:05:00,15.4 GiB,2.59 GiB,1.90 GiB,10.9 GiB,0 B
2024-03-05 16:05:15,15.4 GiB,2.59 GiB,1.90 GiB,10.9 GiB,0 B
2024-03-05 16:05:30,15.4 GiB,2.59 GiB,1.90 GiB,10.9 GiB,0 B
2024-03-05 16:05:45,15.4 GiB,2.59 GiB,1.90 GiB,10.9 GiB,0 B